SampleID	Sample_Type	Days	Log10_Cells_permL	Benzene_mM	Nitrate_mM	Nitrite_mM	Nicotinic_acid_pM	Pantothenic_acid_pM	p_Aminobenzoic_acid_pM	Biotin_pM	Vitamin_B12_pM
46_B5I	Plus	22	5.872639848	0.040281975	7.12	0.58	0	0	0	3.43325285	0
47_B5II	Minus	22	5.743776217	0.084490883	7.1	0.58	0	0	0	0	0
48_B5III	Minus	22	5.534521072	0.093905422	7.46	0.48	0	0	0	74.17121675	94.57978245
49_B5IV	Plus	22	5.871310178	0.02891745	6.78	0.62	0	0	0	0	0
50_C5I	Plus	22	6.153375776	0.078702916	7.08	0.56	0	0	0	9.3928615	0
51_C5II	Plus	22	5.546160019	0.075122128	7.08	0.62	0	0	0	0	0
52_C5III	Plus	22	5.474026765	0.047736572	7.06	0.6	0	0	0	0	0
53_C5IV	Minus	22	5.801897413	0.105273581	7.46	0.48	0	0	0	0	0
54_A6I	Plus	26	5.503531935	0.006542612	6.78	0.62	0	0	0	0	0
55_A6II	Plus	26	5.286815613	0.005780917	6.76	0.62	0	0	0	0	0
56_A6III	Plus	26	5.300465045	0.006269286	6.76	0.62	0	0	0	0	0
57_A6IV	Minus	26	5.617597871	0.085162753	7	0.6	0	0	0	0	81.73561445
58_B6I	Plus	26	6.215505378	0.027371676	6.76	0.62	0	0	0	0	0
59_B6II	Plus	26	6.117344224	0.005982006	6.76	0.64	0	0	0	0	0
60_B6III	Plus	26	5.301767669	0.006171757	6.74	0.64	0	0	0	0	0
61_B6IV	Minus	26	6.099677188	0.092424183	7.44	0.44	0	638.872872	0	103.3214766	101.0018665
62_C6I	Plus	26	6.270813877	0.006531784	6.74	0.64	0	0	0	0	0
63_C6II	Minus	26	6.333015788	0.087364699	6.98	0.62	0	0	0	0	0
64_C6III	Plus	26	6.101248586	0.019612139	6.72	0.68	0	0	0	0	0
65_C6IV	Minus	26	6.203522416	0.108376247	7.4	0.48	0	0	0	0	0
66_A7I	Plus	30	5.157909866	0.006233894	6.72	0.64	0	0	0	0	0
67_A7II	Plus	30	5.182129214	0.042676507	6.92	0.62	0	0	0	0	0
68_A7III	Plus	30	5.187661702	0.019401022	6.68	0.64	0	0	0	0	0
69_A7IV	Plus	30	5.070407321	0.006488616	6.66	0.64	0	0	0	0	0
70_B7I	Minus	30	5.988416249	0.103670758	7.4	0.5	0	0	0	0	0
71_B7II	Minus	30	5.914332577	0.105925902	7.4	0.5	1311.233746	0	1494.434152	134.7389789	136.0314155
72_B7III	Plus	30	5.853150436	0.007135995	6.62	0.64	0	0	0	0	0
73_B7IV	Minus	30	5.523538371	0.069015414	6.88	0.62	0	0	0	0	0
74_C7I	Plus	30	6.212768052	0.005999884	6.6	0.64	0	0	0	0	0
75_C7II	Minus	30	5.855337404	0.077290935	6.86	0.62	0	0	0	0	0
76_C7III	Minus	30	5.864030243	0.096016235	7.34	0.5	0	0	0	0	0
77_C7IV	Plus	30	5.503123072	0.007214555	6.58	0.64	0	0	0	0	0
78_A8I	Plus	34	5.446537167	0.00670373	6.58	0.64	0	0	0	0	0
79_A8II	Plus	34	5.323767583	0.007116445	6.48	0.66	0	0	0	0	0
80_A8III	Minus	34	5.325618272	0.061729784	6.86	0.6	0	0	0	0	0
81_A8IV	Plus	34	5.432809005	0.007457359	6.48	0.64	0	0	0	0	0
82_B8I	Plus	34	6.52884474	0.006824296	6.42	0.66	0	0	0	0	0
83_B8II	Plus	34	6.254939418	0.006493049	6.38	0.66	0	0	0	0	0
84_B8III	Plus	34	6.237347658	0.005919288	6.32	0.78	0	0	0	0	0
85_B8IV	Minus	34	6.020406864	0.107972326	7.34	0.5	0	0	0	121.4594161	129.6093315
86_C8I	Plus	34	6.146865709	0.011609436	6.28	0.72	0	0	0	0	0
87_C8II	Minus	34	6.047932627	0.13187019	7.32	0.52	0	0	0	125.6700092	122.6034217
88_C8III	Plus	34	5.924000007	0.006521319	6.2	0.72	0	0	0	0	0
89_C8IV	Plus	34	6.120465344	0.006459982	6.2	0.66	0	0	0	0	0
