bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
bin_021_rest	Unknown	822707	39	23312	59.08491965491343	0.0	0.0
bin_022_Armatimonadetes	Unknown_Armatimonadetes	3247912	35	94516	63.409085646230146	94.36619718309859	1.408450704225352
bin_023_Proteobacteria	Hyphomicrobiaceae	4665751	234	41764	61.09695360148433	100.0	7.042253521126761
bin_024	Unknown_Betaproteobacteria	3552934	445	13239	67.68328358271111	85.91549295774648	7.042253521126761
bin_025_Proteobacteria	Unknown_Betaproteobacteria	3756427	64	109280	70.774573308785	92.95774647887323	0.0
bin_026_Chloroflexi	Ardenticatenaceae	3639465	40	253413	61.13389595267774	95.77464788732394	0.0
bin_027	Rhodocyclaceae	2308863	797	3858	66.45316084715411	83.09859154929578	14.084507042253522
bin_028	Unknown_Deltaproteobacteria	7069549	1158	9164	71.02711640284559	74.64788732394366	8.450704225352112
bin_029_Proteobacteria	Xanthomonadaceae	2957553	179	30579	68.64638585441166	97.1830985915493	8.450704225352112
bin_030_Verrucomicrobia	Opitutaceae	4181919	23	212925	66.55487829556637	98.59154929577464	1.408450704225352
bin_031_Chloroflexi	Unknown_Chloroflexi	4931782	51	149493	59.48533171577915	97.1830985915493	1.408450704225352
bin_032_Bacteroidetes	Unknown_Bacteroidetes	3328800	100	101615	36.54836526609845	100.0	0.0
bin_033_Ignavibacteriae	Unknown_Ignavibacteria	2779610	39	77228	53.95893962899528	83.09859154929578	1.408450704225352
bin_034_Proteobacteria	Unknown	2554880	270	16787	62.661163585061175	91.54929577464789	9.859154929577464
bin_035	Unknown	3845035	144	57260	56.22445856908226	92.95774647887323	0.0
bin_036_Proteobacteria	Comamonadaceae	4639052	75	136744	70.09990457843696	94.36619718309859	4.225352112676056
bin_037	Unknown_Bacteria	3655018	572	11089	66.75075906694536	97.1830985915493	2.816901408450704
bin_038_Gemmatimonadetes	Unknown_Gemmatimonadetes	5538605	73	111952	67.74614806354289	100.0	2.816901408450704
bin_039_Chloroflexi	Unknown_Chloroflexi	2737729	173	23317	71.07610645589372	92.95774647887323	2.816901408450704
bin_041_Chloroflexi	Unknown_Chloroflexi	4421002	227	28430	63.515982404342	94.36619718309859	1.408450704225352
bin_042_Chloroflexi	Sphaerobacteraceae	3428056	72	60132	68.40042807254551	90.14084507042253	2.816901408450704
bin_043	Unknown	3659643	298	22797	72.93511797202423	63.38028169014085	1.408450704225352
bin_044	Unknown	5193204	420	20074	76.36961902352795	38.028169014084504	1.408450704225352
bin_045_Proteobacteria	Unknown_Alphaproteobacteria	5148383	324	49748	62.296936674397955	98.59154929577464	36.61971830985915
bin_046_Ignavibacteriae	Unknown_Ignavibacteria	2515780	20	101247	46.990836951536146	87.32394366197182	0.0
bin_047_Proteobacteria	Alcaligenaceae	4353019	111	83634	61.42032895695218	98.59154929577464	5.633802816901408
bin_048_Proteobacteria	Unknown_Gammaproteobacteria	4940754	322	36850	61.16736080469495	98.59154929577464	0.0
bin_049_Ignavibacteriae	Unknown_Ignavibacteria	3998798	253	42236	35.867036602534235	97.1830985915493	1.408450704225352
bin_050_Ignavibacteriae	Unknown_Ignavibacteria	3005714	199	26951	61.49980821947497	95.77464788732394	2.816901408450704
bin_051	Unknown_Actinobacteria	4088151	870	8436	70.82676735191879	98.59154929577464	38.028169014084504
bin_052	Rhodocyclaceae	3442950	118	62564	65.04381364641118	87.32394366197182	11.267605633802816
bin_053	Unknown_Betaproteobacteria	5493707	338	54079	68.09373835668111	95.77464788732394	91.54929577464789
bin_054	Burkholderiaceae	2864095	278	18657	69.50163654102201	49.29577464788732	11.267605633802816
bin_055	Unknown_Betaproteobacteria	3455486	403	14004	70.78477265042554	35.2112676056338	11.267605633802816
bin_056_Proteobacteria	Comamonadaceae	5495738	515	30096	63.45451800502897	100.0	7.042253521126761
bin_057	Rhodocyclaceae	2617295	341	13652	66.00056377191471	78.87323943661971	4.225352112676056
bin_058	Unknown	5192471	184	83902	46.87478180063277	97.1830985915493	1.408450704225352
bin_059	Unknown_candidate_division_Zixibacteria	3146082	29	339977	50.55539183876452	95.77464788732394	0.0
bin_060	Unknown	9936556	1032	18963	60.529567121859074	92.95774647887323	22.535211267605632
bin_061	Rhodocyclaceae	1654255	372	7287	62.23158955728801	57.74647887323944	23.943661971830984
bin_062_Proteobacteria	Brucellaceae	5005696	178	48554	55.89917504882095	98.59154929577464	1.408450704225352
bin_063	Unknown	6354922	1647	6194	74.93137323030389	100.0	38.028169014084504
bin_064_Actinobacteria	Unknown_Actinobacteria	3202270	281	22637	67.43114758067583	100.0	1.408450704225352
bin_065	Unknown	6744885	2039	8458	50.255386407387256	85.91549295774648	43.66197183098591
bin_066_Actinobacteria	Microbacteriaceae	2817429	255	24209	65.55954885794563	91.54929577464789	1.408450704225352
bin_067_Ignavibacteriae	Unknown_Ignavibacteria	3530919	315	16384	40.31691749926146	97.1830985915493	5.633802816901408
bin_068_Proteobacteria	Unknown_Betaproteobacteria	4322486	485	13567	68.46414908961135	95.77464788732394	4.225352112676056
bin_069_Bacteroidetes	Unknown_Bacteroidetes	2926801	173	30327	35.283324780484435	94.36619718309859	1.408450704225352
bin_070_Ignavibacteriae	Unknown_Ignavibacteria	3525412	94	55493	55.03925323997895	94.36619718309859	1.408450704225352
bin_071	Unknown	5925308	635	40486	70.34422443230157	92.95774647887323	29.577464788732396
bin_072	Unknown	8758907	625	39721	57.94669084377219	94.36619718309859	28.169014084507044
bin_073	Unknown_Alphaproteobacteria	2705742	1295	2274	64.66229153359237	35.2112676056338	9.859154929577464
bin_074	Unknown_Alphaproteobacteria	3806583	556	13834	67.88901541862154	66.19718309859155	11.267605633802816
bin_075	Unknown	7109454	1484	8254	63.4062901669151	97.1830985915493	45.070422535211264
bin_076_Gemmatimonadetes	Unknown_Gemmatimonadetes	2140732	272	11740	69.89641017589217	90.14084507042253	2.816901408450704
bin_077	Opitutaceae	4673905	672	15886	67.62974959357153	70.4225352112676	25.35211267605634
bin_078	Rhodocyclaceae	2641288	777	4822	67.84490639639729	33.80281690140845	4.225352112676056
bin_079	Nocardioidaceae	5792266	2118	3367	72.48725576283361	70.4225352112676	26.760563380281692
bin_080	Unknown_Alphaproteobacteria	3128734	1245	2943	62.77790489154207	64.78873239436619	43.66197183098591
bin_081	Anaerolineaceae	5709272	1125	10355	57.79769990718027	70.4225352112676	26.760563380281692
bin_082	Nocardioidaceae	5577205	1316	6874	71.38196990970593	83.09859154929578	32.394366197183096
bin_083	Unknown	5283378	1030	9475	70.63349334198755	69.01408450704226	32.394366197183096
bin_084_Actinobacteria	Conexibacteraceae	2261235	265	13840	73.13814273206457	91.54929577464789	5.633802816901408
bin_085	Opitutaceae	3682898	1079	4545	65.41305983845159	50.70422535211268	14.084507042253522
bin_086_Bacteroidetes	Unknown_Bacteroidetes	3074666	117	42493	39.11290968148519	97.1830985915493	1.408450704225352
bin_087_Proteobacteria	Unknown_Deltaproteobacteria	5847895	994	9481	69.31018323796701	94.36619718309859	14.084507042253522
bin_088	Unknown_Alphaproteobacteria	2578089	976	2995	69.82381710235221	40.84507042253521	9.859154929577464
bin_089	Unknown	3563143	1664	2337	63.320223295706434	69.01408450704226	21.12676056338028
bin_090_Gemmatimonadetes	Unknown_Gemmatimonadetes	2598559	21	170057	67.03754997102504	95.77464788732394	0.0
bin_091	Caldilineaceae	6576024	2551	3277	60.498530238711965	91.54929577464789	32.394366197183096
bin_092_Proteobacteria	Rhodobacteraceae	3044225	955	3959	69.89137607729135	92.95774647887323	5.633802816901408
bin_093	Phyllobacteriaceae	2464376	1032	2622	65.26276370961601	63.38028169014085	50.70422535211268
bin_094	Caldilineaceae	6323288	1399	8343	65.75113717545442	64.78873239436619	9.859154929577464
bin_095	Unknown	6168783	2301	3349	62.17682593266234	90.14084507042253	64.78873239436619
bin_096_Actinobacteria	Unknown_Thermoleophilia	2125011	468	6710	65.84489693566641	95.77464788732394	4.225352112676056
bin_097	Unknown_Betaproteobacteria	2821991	1438	2096	71.16628259808235	39.436619718309856	2.816901408450704
bin_098	Unknown	2994759	1384	2223	59.24040795051811	36.61971830985915	8.450704225352112
bin_099	Unknown	6977932	3497	2130	63.516137746135634	47.88732394366197	11.267605633802816
bin_100	Unknown	2774929	1278	2398	66.7898012776059	66.19718309859155	57.74647887323944
bin_101_Chlorobi	Unknown_Chlorobi	3233764	60	74637	35.72535601429652	95.77464788732394	0.0
bin_102	Unknown	6777504	2482	3593	59.165953762229606	94.36619718309859	50.70422535211268
bin_103	Unknown	4174659	2117	2127	67.17921407168066	81.69014084507042	33.80281690140845
bin_104	Phyllobacteriaceae	2222925	1197	1898	66.90938021020423	45.070422535211264	22.535211267605632
bin_105	Unknown	4015081	2335	1741	62.227518415564816	61.971830985915496	28.169014084507044
bin_106	Unknown	3005903	1644	1889	61.5292120779921	67.6056338028169	8.450704225352112
bin_107	Unknown	2106025	1202	1818	73.4007330372621	50.70422535211268	2.816901408450704
bin_108	Unknown	4845334	2986	1576	65.73506165787322	54.929577464788736	18.309859154929576
bin_109	Unknown	7986166	4519	1768	57.43740966518636	83.09859154929578	76.05633802816901
bin_110	Leptospiraceae	2600002	1655	1546	54.490608374636196	59.15492957746479	14.084507042253522
bin_111	Unknown	3688075	2205	1699	70.10047347154973	67.6056338028169	38.028169014084504
